rotulo,texto
1,"recommend! the pitcher is great for frothing milk for 2 servings.the only con is that the handle hurts my hand if i hold it in a certain way. the edges of the handle isn't rounded, so this is the reason why.other than this, its great. you can easily make latte arts using this."
0,"not very useful this dictionary is not very good, it is not well written. you ca not find anything on it at all"
0,"NOT FUNNY! This is what Hollywood is calling humor these days? Must of been written by the lowly out of work writers during their strike! Crude, demeaning and a waste of my time!"
0,"Doesn't live up to expectations This book is the worst book in the Saga so far. There is none of the action and confrontations that were in the first 3 books and in the next 3. Darren journeys to Vampire Mountain with Mr. Crepsley, some wolves, Little People, and an old friend. The only good part of this book was the fight with the bear (I will say no more). If you're into this series, you must read this book to keep up, but if not STAY AWAY!!!"
1,"Not like the Movie! A friend has a bumper sticker; ""Movies are Gooder than books!"" For me, this experienced promotes reading above or at least before film. I've not finished yet but it is like reading a new story with some of the same characters. I often wondered how John Ford was able to fit all the excessive verbiage of ""Moby Dick"" in to a film of normal length. Then upon seeing the credits from the beginning I see Screenplay, John Ford and Ray Bradbury. That explained a lot. I've now come to realize that T V are Gooder than Books!"
1,"An Amazing Album!!! A great combination of orchestral and heavy metal. The arrangements are very complex and interesting, not to mention that Kahn is the MAN!My favorite songs would have to be all 3 in the Elizabeth trilogy which is based on the infamous Elizabeth Bathory. Great songs and great interpretations.This was the first album of Kamelot's that I got into and I definitely recommend this to everyone!"
0,"Why does this book have five stars? I am embarrassed that I even bought this book. The first one was strangely compelling, and I found the second one on sale cheap, but I should have honestly stopped there.There is nothing really scary about these ""bodies."" They are weak and decaying. A few well-placed molotov cocktails applied regularly would have finished this series at book two (or sooner). Presumably the bodies are not reproducing. Eventually, efforts at getting rid of them would pay off.There is nothing scary about this book, that is, except the hypnotic repetitiveness of the narration. If I read one more time the long, drawn-out explanation of why the bodies were amassing near the survivors, I think perhaps I might have turned into a zombie-like creature myself.I remain flabbergasted that so many people appear to have thought this book was worth 4+ stars."
1,"We couldn't live without it! Our son just loves this aqauarium. The eternal skeptic, I thought this looked a bit hokey - but after a night - I was sold. Not a night goes by without playing it. Our baby is usually asleep before the song is over. Now, at 3 months - our son can ""turn it on"" by himself. I recommend this to any parent!"
0,"possibly the worst haunted house movie made This movie doesn't scare, it barely entertains and is frustrating to watch capable actors (Zita Jones and Nelson) in limited roles.The script is just plan bad, instead of showing realistic traditional ghost the producer decided to go with high dollar unrealistic special effects that are way overdone.I didn't hate the movie, but I was really disapointed."
1,"And the moral of the story is... I really liked Lord of the Flies(I liked even more when I found out that one of the Simpsons episodes were inspired from it). I read this book late last year...it is about an all-boys scout getting into an airplane crash and getting stranded on a deserted island--with no adults supervising them. First few days work out so-so but then it starts turning into cave-manism(if that's a word) and then later on canabalism(almost). This book really teaches a lesson, about people, how they really are. And it's about 3 kinds of people; the good, the bad, and the evil."
