date,ticker,headline,source
2025-11-26,PETR4,"Petrobras reports surprise loss in Q3, shares tumble",CNBC
2025-11-27,BBDC4,Bradesco declares record quarterly dividend,Financial Times
2025-11-28,ITUB4,Itau Unibanco downgraded to Sell on rising debt levels,Financial Times
2025-11-28,BBDC4,Bradesco announces $​17.9B stock buyback program,CNBC
2025-12-03,TSLA,Analysts upgrade Tesla to Buy citing strong cash flow,Reuters
2025-12-03,PETR4,"Petrobras reports record revenue, margins expand",CNBC
2025-12-04,GS,Goldman Sachs raises full-year guidance after strong quarter,Bloomberg
2025-12-04,TSLA,Market volatility hits Tesla as bond yields rise,Reuters
2025-12-05,AAPL,Apple files annual 10-K report with SEC,Financial Times
2025-12-05,PETR4,"Petrobras reports record revenue, margins expand",Bloomberg
2025-12-08,ITUB4,Itau Unibanco confirms partnership talks with Microsoft Azure,Valor Economico
2025-12-08,NVDA,NVIDIA declares record quarterly dividend,Valor Economico
2025-12-09,BBDC4,Market volatility hits Bradesco as bond yields rise,Valor Economico
2025-12-09,BBDC4,Bradesco announces $​21.3B stock buyback program,Valor Economico
2025-12-10,ITUB4,"Itau Unibanco unveils new AI-driven product line, market reacts positively",Valor Economico
2025-12-10,PETR4,Petrobras to present at industry conference in Sao Paulo,Valor Economico
2025-12-10,PETR4,Petrobras misses revenue forecast amid weak demand,Reuters
2025-12-10,GS,Goldman Sachs declares record quarterly dividend,CNBC
2025-12-12,ITUB4,Itau Unibanco raises full-year guidance after strong quarter,Reuters
2025-12-12,PETR4,Petrobras confirms partnership talks with Vale,CNBC
2025-12-15,NVDA,NVIDIA CEO resigns amid governance concerns,Bloomberg
2025-12-15,NVDA,Analysts upgrade NVIDIA to Buy citing strong cash flow,Bloomberg
2025-12-15,VALE3,Vale to present at industry conference in Sao Paulo,Valor Economico
2025-12-16,TSLA,"Tesla unveils new AI-driven product line, market reacts positively",Reuters
2025-12-17,AAPL,Market volatility hits Apple as bond yields rise,Valor Economico
2025-12-19,TSLA,Tesla secures major contract with BlackRock,Reuters
2025-12-22,BBDC4,"Bradesco beats Q2 earnings expectations, shares jump 17.7%",Financial Times
2025-12-23,BBDC4,"Bradesco unveils new AI-driven product line, market reacts positively",Financial Times
2025-12-23,VALE3,Vale declares record quarterly dividend,Bloomberg
2025-12-24,MSFT,Microsoft board approves routine capital allocation plan,Financial Times
2025-12-24,AAPL,Apple confirms partnership talks with BlackRock,CNBC
2025-12-24,NVDA,NVIDIA secures major contract with Saudi Aramco,Bloomberg
2025-12-25,TSLA,Tesla raises full-year guidance after strong quarter,CNBC
2025-12-26,VALE3,Vale secures major contract with Vale,CNBC
2025-12-29,NVDA,NVIDIA raises full-year guidance after strong quarter,CNBC
2025-12-30,NVDA,NVIDIA board approves routine capital allocation plan,Valor Economico
