rotulo,texto
1,"Mini Shuttle Astronaut I love this item! It occupies the top shelf of my ""sci-fi shrine"" next to my tiny Star Trek models."
0,"Pointless A mix of past history, plus a load of wildly inaccurate predictions presented as if this so-called novel was some kind of history book published in the 21st century. Wells acknowledges J.W. Dunne's Experiment with Time. It's not clear if this book was the outcome of Wells attempting to follow Dunne's technique in that book, or whether he saw himself as some kind of modern day Mother Shipton. Anyway, the only thing he gets nearly right is the outbreak of another war, which he predicts as starting in 1940. One example of the inaccuracies is that he states Poland would declare war on Germany and that the Poles would heavily bomb Berlin so that it would be like a primitive village afterwards. Elsewhere, he speaks highly of Lenin and goes on about the modern state being in control of life. In his Experiment in Autobiography he says he ""took great pains to make it as exciting and readable as anything I have ever done"". It nearly sent me to sleep."
0,not even 1 star utter garbage - give me $1.00 for every flat note lauren hill hits on this album and I would be a millionaire
0,"Disappointed I bought this phone because of the range and speaker phone feature. I immediately found that the phone kept displaying ""line 2"" active when there was only one line to the phone. The battery in the handset died after only two months and a replacement never charged. When I returned it to the manufacturer via instructions I received a factory-reconditioned older phone with only 900 mhz in return with no other explanation. I will never buy a UNIDEN phone again."
0,taste awful smell bad and taste awful. I could not sleep well at night after having this product after dinner. quit it.
1,"Parker's new charge... Being a huge Spenser fan I am of course a Robert B. Parker fan. Sunny Randall makes her debut in this yarn of sex, deceit and extortion. Not his best but getting his feet wet with this new female perspective, he makes more than a solid effort. (he gets the ball rolling in following tales) I'm grateful to Mr. Parker and his pen (figuratively???) If you are a fan...don't miss it. If you're not...WHY not???!!!!"
0,Worst Ever!! these daipers are no good to use.. always leaks and gives diaper rash.. not worth the money.. Pampers swaddlers are much better than these daipers.
1,"Asimow is one of the best writers of all times Foundation, and all the other books that complete the extense colection are wonderful. I remember when i read this book 8 years ago, and as you see i still love it. If you don't want to read all the books of the series, you don't have to do it, the saga of foundation it's only three books (foundation, foundation and Empire, and Second Foundation), but if you want to read a good, good, GOOD,GOOOOOOOOOOD series of books, read them all, you won't regret it. I really loved all this books."
1,"Entertaining to the last page Trollope is addictive, but some of his books offer more nonstop entertainment than others, and this is one of those."
0,"A bit overrated. . . Actually this isn't really even a movie, it's a really long music video. Maybe it's an advertisement, I don't know. All I can say is that a good movie requires a few things first and foremost: an engaging story and some interesting characters. This film lacks both. The director is a trickster of sorts who depends on neat stylized filming techniques and devices that attempt to cover up the fact that nothing's really happening plot-wise. Sorry, but the ""alternate-scenario"" theme just didn't work. At the end of the movie your left wondering why you bothered to even watch the first two thirds. Maybe I missed the point. Is there a point? Somebody please enlighten me."
0,"this cant be happening I cant believe that a sequel came out for american piesame tasteless humorsame story linesame starssame everythingthis is just another attempt by filmakers to make high schoolers think that when they go to ""college"" its going to be one beer guzzling party after another and they will get through their first year with flying colorsI know this because it brainwashed a buncha of students at my school, always trying to get laid, into parties and how much they will enjoy their ""freedom"" in collegebad movie"
1,"No Knowledge to success I could play games and do word processing. If I had a problem I would reload my computer and start over. I'm retired with such outdated skills and physical disabilities that I was unemployable. Started school at NACC in Burbank,California went to class for ten weeks on weekends, read their texts and then bought A+ Certification before testing. I read it through twice, took both CompTIA core and dos adaptive exams the same morning and passed very comfortably.Without this book to put it together from start to finish I would have had to study longer and harder.My only suggestion is in making the Operating System Architecture section more simplified like it is in A+ Dos/Windows second edition Chapter 3 by David Groth."
1,"Great Book For those of you who might think that a Clavell novel might be a little too long for you, this book is great, and the shortest of the six books in the Asian Saga. Plus it stands out in its own right as a book that will leave an impression on you. Emotionally, and as a result of reading a good book"
1,"Zane Grey I was really surprised that there was another Nevada book by Zane Grey. I had originally wanted another copy of the first book, Nevada, but when I saw this one I just had to buy it. Thanks!"
0,"The worst creatures in the world. Yuck! How can they do that, so incredible and disgrace. I've never heard this kind of songs before. And they call it songs? And their looks, oh gosh, some black hair, some blond hair, what are they doing? Their look is soooooooooo disgusting. And make me want to vomit too. How can u guys have such bad taste? Really make me wonder, they must be God's mistake. PITY."
1,"Sixteen-and active Keir Gilchrist, an impressive kid actor of kid movies, had grown up as well as his character-a sixteen year old sex-experimenting pupil who had checked himself into psycho ward to cure from depression with a single pill only.It is surely a deep-meaningful work for viewers M15+, of a kind of such a medicine and a world in and outside the nut house screened."
0,"Buy swaddlers not BABY DRY We got a big box of ""baby dry"" from amazon. Our experience is that my son's clothes are soaked with just a small amount of liquid. On the other hand, the ""swaddlers"" take on a ton of liquid and my son stays dry as a bone and so do his clothes. We are sending these back as defective and ordering more swaddlers."
